Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
213,"Rue Caroline 2, 1003 Lausanne, Switzerland",46.5202913,6.6372111999999985,Pizzéria Da Carlo S.A.,4.1,POINT (6.637211199999999 46.5202913),POINT (6.637211199999999 46.5202913)
214,"Chemin des Clochetons 41, 1004 Lausanne, Switzerland",46.526337,6.6169981,cucina41,4.2,POINT (6.6169981 46.526337),POINT (6.6169981 46.526337)
215,"Avenue des Deux-Ponts 13, 1009 Pully, Switzerland",46.5126672,6.645546400000001,Restaurant - Pizzeria Grotto 2,4.2,POINT (6.645546400000001 46.5126672),POINT (6.645546400000001 46.5126672)
216,"Voie du Chariot 6, 1003 Lausanne, Switzerland",46.52097879999999,6.629244900000001,Leonardo Bar and Food,4.1,POINT (6.629244900000001 46.52097879999999),POINT (6.629244900000001 46.52097879999999)
217,"Place de la Gare 12, 1003 Lausanne, Switzerland",46.5178941,6.6281427,Le Ticino,4.2,POINT (6.6281427 46.5178941),POINT (6.6281427 46.5178941)
218,"Avenue du Temple 2, 1020 Renens, Switzerland",46.535988700000004,6.5876891,Restaurant La Rose Rouge,4.1,POINT (6.5876891 46.5359887),POINT (6.5876891 46.5359887)
219,"Rlle des Tanneurs 1003, 1003 Lausanne, Switzerland",46.520672999999995,6.635789,Perbacco,4.4,POINT (6.635789 46.520673),POINT (6.635789 46.520673)
220,"Avenue de la Poste 22, 1020 Renens, Switzerland",46.539233200000005,6.5836878,La Scarpetta Pizzeria,3.9,POINT (6.5836878 46.53923320000001),POINT (6.5836878 46.53923320000001)
221,"Rue Cité-Devant 6, 1005 Lausanne, Switzerland",46.52328,6.6353341,Il ghiotto,4.3,POINT (6.6353341 46.52328),POINT (6.6353341 46.52328)
222,"Chemin des Cèdres 2B, 1004 Lausanne, Switzerland",46.5245867,6.6267980999999985,Milano's Pizza,4.2,POINT (6.626798099999998 46.5245867),POINT (6.626798099999998 46.5245867)
223,"Route d'Oron 4, 1068 Pully, Switzerland",46.534065399999996,6.683497900000001,Il Vesuvio,4.2,POINT (6.683497900000001 46.5340654),POINT (6.683497900000001 46.5340654)
224,"Chemin du Pré-de-la-Tour 10, 1009 Pully, Switzerland",46.511144099999996,6.6609408,Time Out Pully,3.9,POINT (6.6609408 46.5111441),POINT (6.6609408 46.5111441)
225,"Chemin des Falaises 1, 1005 Lausanne, Switzerland",46.52694899999999,6.640897,Restaurant-pizzeria Les Falaises,3.6,POINT (6.640897 46.52694899999999),POINT (6.640897 46.52694899999999)
226,"Avenue du Chablais 53, 1007 Lausanne, Switzerland",46.523232799999995,6.601045200000001,La Poesia Restaurant,4.5,POINT (6.601045200000001 46.5232328),POINT (6.601045200000001 46.5232328)
227,"Rue Dr César-Roux 5, 1005 Lausanne, Switzerland",46.5251589,6.637623700000001,Ristorante Amici,4.6,POINT (6.637623700000001 46.5251589),POINT (6.637623700000001 46.5251589)
228,"Boulevard de Grancy 54, 1006 Lausanne, Switzerland",46.5165131,6.6258517999999995,le Milan,4.3,POINT (6.6258518 46.5165131),POINT (6.6258518 46.5165131)
229,"Avenue d'Ouchy 3, 1006 Lausanne, Switzerland",46.5165321,6.6336550999999995,Pasta e Sfizi,4.3,POINT (6.633655099999999 46.5165321),POINT (6.633655099999999 46.5165321)
230,"Route du Châtelard 56, 1018 Lausanne, Switzerland",46.54440049999999,6.6242166,Pizzeria Napoli,3.9,POINT (6.6242166 46.54440049999999),POINT (6.6242166 46.54440049999999)
231,"Avenue des Deux-Ponts 13, 1009 Pully, Switzerland",46.5127122,6.6454796,restaurant italien,0.0,POINT (6.6454796 46.5127122),POINT (6.6454796 46.5127122)
232,"Rue du Bugnon 46, 1005 Lausanne, Switzerland",46.52560829999999,6.642587199999999,Chez Sophie,4.0,POINT (6.642587199999999 46.52560829999999),POINT (6.642587199999999 46.52560829999999)
233,"Boulevard de Grancy 32, 1006 Lausanne, Switzerland",46.5158806,6.6280049,Café de L 'Avenir,4.2,POINT (6.6280049 46.5158806),POINT (6.6280049 46.5158806)
